Kode Produk;Produk;Status Produk Saat Ini;Kode Variasi;Nama Variasi;Pengunjung Produk (Kunjungan);Halaman Produk Dilihat;Pengunjung Melihat Tanpa Membeli;Tingkat Pengunjung Melihat Tanpa Membeli;Klik Pencarian;Suka;Pengunjung Produk (Menambahkan Produk ke Keranjang);Dimasukkan ke Keranjang (Produk);Tingkat Konversi Produk Dimasukkan ke Keranjang;Total Pembeli (Pesanan Dibuat);Produk (Pesanan Dibuat);Total Penjualan (Pesanan Dibuat) (IDR);Tingkat Konversi (Pesanan yang Dibuat);Total Pembeli (Pesanan Siap Dikirim);Produk (Pesanan Siap Dikirim);Penjualan (Pesanan Siap Dikirim) (IDR);Tingkat Konversi (Pesanan Siap Dikirim);Tingkat Konversi (Pesanan Siap Dikirim dibagi Pesanan Dibuat);% Pembelian Ulang (Pesanan Siap Dikirim)
26154695648;"HP 14S DQ5777TU Intel Core I3 1215U RAM 8GB/12GB 256GB SSD Win11 OHS 14FHD BACKLIT 2YEAR SILVER""""";Normal;0;-;12;25;8;67;4;2;1;1;8,33;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
26354713880;Tidak dapat memperoleh informasi produk karena penghapusan;Dihapus;0;-;2;3;1;50;0;0;1;1;50,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
26454685209;Printer Ink Tank CANON PIXMA G2010 - Print Scan Copy - Printer Multifungsi;Normal;0;-;5;12;2;40;1;0;2;3;40,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
26704695211;Laptop HP Pavilion Aero 13-be2004AU Ryzen 7-7735U 1TB SSD 16GB Win+OHS Original;Normal;0;-;18;24;9;50;17;1;1;1;5,56;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
26706338759;Acer Aspire 5 Slim A514-56P-57Q8 i5-1335U 8GB 512SSD WUXGA W11 OHS;Normal;0;-;1;2;0;0;1;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
26904967057;M-Tech Keyboard PC Laptop Mini Multimedia MTK 02;Normal;0;-;1;1;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
27004693674;Tidak dapat memperoleh informasi produk karena penghapusan;Dihapus;0;-;5;9;0;0;4;2;1;1;20,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
27006042212;Asus Vivobook Go 14 E1404FA-FHD321 R3-7320U 8GB 256SSD W11 OHS;Normal;0;-;7;19;3;43;4;0;1;1;14,29;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
27056040041;USB Hub 3.0 4 Port;Normal;0;-;1;2;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
27154686667;Canon PIXMA MG2570S;Normal;0;-;2;4;1;50;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
27404695651;HP Laptop 14s-dq3109TU 14;N4500;8GB;256GB;Silver; UMA; W11;" OHS 2021""""";Normal;0;-;57;77,00;27;47;33,00;1,00;7;8;12,28;0,00;0,00;0,00
27456039368;Asus Vivobook A1400EA-FHD7523 Pentium Gold 7505 4GB 256SSD W11;Normal;0;-;10;23;3;30;4;0;2;3;20,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
27706339381;ADVAN Workpro i5-1035G7 8GB 256GB SSD FHD IPS W11;Normal;0;-;6;13;2;33;1;0;2;2;33,33;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
27804882484;FLASHDISK DAP 16GB;Normal;0;-;3;4;1;33;0;0;2;2;66,67;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
27904998169;KEYBOARD NUMERIC VOXY K80;Normal;0;-;3;3;2;67;2;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28155224921;Tinta Data Print Canon DP-40 Hitam/ DP-41 Warna;Normal;0;-;2;3;1;50;2;0;1;3;50,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28155224921;Tinta Data Print Canon DP-40 Hitam/ DP-41 Warna;Normal;2,07649E+11;Hitam + Warna (CMY);0;0;0;0;0;0;1;3;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28156091724;Cartridge Canon 810 Black dan 811 Colour;Normal;0;-;18;26;1;6;16;0;1;3;5,56;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28156091724;Cartridge Canon 810 Black dan 811 Colour;Normal;2,51252E+11;Warna (CMY);0;0;0;0;0;0;1;3;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28206343580;Tinta Canon Pixma 790 Black, Cyan, Magenta, Yellow Original;Normal;0;-;1;1;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28404693008;Laptop HP 14s-dq5120TU i7-1255U 512GB SSD 16GB Win11+OHS;Normal;0;-;17;21;9;53;12;1;1;1;5,88;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28406037286;Tinta Blueprint Original 100 ML Black and Color Untuk Printer Canon;Normal;0;-;1;5;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28454689399;Tidak dapat memperoleh informasi produk karena penghapusan;Dihapus;0;-;6;14;4;67;3;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28504687943;HP Printer Ink Tank 315 (Print, Scan, Copy) Printer Murah Multifungsi F4 Isi Ulang All In One;Normal;0;-;6;24;4;67;1;0;2;4;33,33;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28604780015;Tidak dapat memperoleh informasi produk karena penghapusan;Dihapus;0;-;2;2;0;0;1;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28606096675;Tinta Epson 003 Hitam dan Warna;Normal;0;-;3;4;2;67;3;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28606334647;Acer Aspire Lite AL14-31P-C0G4 Intel N100 8GB 512SSD WUXGA IPS W11 OHS;Normal;0;-;1;1;0;0;1;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28754689516;Printer Epson L5290 Wi-Fi All-in-One Ink Tank Printer with ADF;Normal;0;-;10;12;6;60;7;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29154686851;Printer Canon PIXMA IP2770;Normal;0;-;18;28;7;39;15;0;2;2;11,11;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29204695253;Laptop HP 14s-dq5115TU i3-1215U 512GB SSD 4GB Win11+OHS;Normal;0;-;5;7;3;60;2;1;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29354815857;M-Tech SY- 7030 Original Mouse Wireless FREE Battery;Normal;0;-;6;10;3;50;5;0;1;1;16,67;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29356094430;Tinta HP GT52 Yellow, Cyan dan Magenta;Normal;0;-;1;1;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29356340750;ACER Aspire 3 14 A314 36M 37EE Core i3 N305 8GB 512GB W11 OHS Silver;Normal;0;-;16;27;6;38;14;0;2;2;12,50;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29404882102;Tidak dapat memperoleh informasi produk karena penghapusan;Dihapus;0;-;3;3;2;67;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29456042055;ASUS Vivobook 14 A1404ZA IPS321 Core i3 1215U 8GB 256GB;Normal;0;-;4;6;3;75;2;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29556040531;Kabel Usb To Printer Wintech 1.5m;Normal;0;-;1;1;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29604713639;Tidak dapat memperoleh informasi produk karena penghapusan;Dihapus;0;-;1;1;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29604967384;Keyboard Standard USB M-Tech STK-01 Original;Normal;0;-;1;2;0;0;1;0;1;1;100,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29656699223;Asus TUF A15 FA506NF R525B3T-O R5-7535HS 16GB 512SSD RTX2050 W11 OHS;Normal;0;-;1;1;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29804998397;HDD CASE ENCLOSURE VOXY H301 TRANSPARANT;Normal;0;-;1;1;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29806038395;Robot M100 Wired Mouse;Normal;0;-;2;5;0;0;1;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29854882977;Tidak dapat memperoleh informasi produk karena penghapusan;Dihapus;0;-;4;4;3;75;3;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
25483232378;CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%;Normal;0;-;97;204;19;20;89;1;27;57;27,84;12;13;2808690,00;12,37;12;12;2532140,00;12,37;100,00;0,00
25483232378;CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%;Normal;2,56162E+11;Hitam;0;0;0;0;0;0;10;16;0,00;2;2;293885,00;0,00;2;2;293885,00;0,00;100,00;0,00
